"VendorID","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","total_amount","pickup_hour","speed","temp","hum","vis","fog","rain","gasprice"
NA,1,-73.8625259399414,40.7691612243652,-73.9887161254883,40.7478256225586,44.34,10,15.6446991404011,22.2,61,16,0,0,1.297
NA,1,-73.9630355834961,40.7991676330566,-73.9703216552734,40.7888908386231,5.3,17,17.3793103448276,3.3,48,16,0,0,1.284
NA,1,-73.9883575439453,40.7185134887695,-73.9161529541016,40.7742767333984,32.25,22,41.4659685863874,9.4,74,16,0,0,1.297
NA,5,-73.9854354858399,40.757022857666,-73.9739151000977,40.7553863525391,6.8,21,8.04469273743017,20.6,63,16,0,0,1.264
NA,1,-73.9878234863281,40.7480850219727,-73.9822998046875,40.745792388916,5.3,15,4.48132780082988,27.8,33,12,0,0,1.155
NA,2,-73.9788589477539,40.750171661377,-73.9816513061524,40.7583885192871,8.3,17,4.78405315614618,11.1,47,16,0,0,1.297
NA,1,-73.9750213623047,40.7585105895996,-73.9605331420898,40.7756042480469,11.76,10,7.9702823179792,25,36,14,0,0,1.167
NA,2,-74.0054779052734,40.7150726318359,-73.994026184082,40.7573394775391,17.3,17,14.0090497737557,11.1,43,16,0,0,1.297
NA,1,-73.9824600219727,40.7727317810059,-73.9779281616211,40.7653198242188,6.3,22,12.9350649350649,8.3,41,16,0,0,1.297
NA,1,-74.0066680908203,40.7136764526367,-73.9562911987305,40.6673927307129,21.3,17,10.4812834224599,7.2,56,16,0,0,1.297
NA,1,-73.9730758666992,40.7612152099609,-73.9620056152344,40.7766075134277,8.3,14,7.12230215827338,25.6,76,12,0,0,1.133
NA,1,-73.9970703125,40.722110748291,-73.9797134399414,40.7139015197754,7.8,14,9.3615221987315,27.8,33,12,0,0,1.155
NA,1,-73.7819137573242,40.6447906494141,-73.9765319824219,40.7832641601563,63.34,1,35.3239436619718,18.3,75,16,0,0,1.297
NA,6,-73.989143371582,40.7576408386231,-73.871711730957,40.7744483947754,46.61,5,33.8273260687343,21.1,90,16,0,0,1.133
NA,1,-74.010009765625,40.7048416137695,-73.9961318969727,40.7261428833008,10.3,11,13.485342019544,8.3,27,16,0,0,1.297
NA,1,-73.9831619262695,40.7386360168457,-73.9489593505859,40.7699584960938,16.3,0,16.2334217506631,10,59,16,0,0,1.284
NA,5,-74.0078125,40.7151908874512,-73.9264831542969,40.7620010375977,34.56,20,12.0336605890603,8.3,90,4,0,0,1.167
NA,1,-73.9813995361328,40.7788352966309,-73.9594802856445,40.801399230957,10.3,0,20.5714285714286,23.3,62,16,0,0,1.155
NA,1,-73.9803466796875,40.7386627197266,-73.9646987915039,40.755802154541,10.79,23,20.3841059602649,19.4,61,14,0,0,1.155
NA,1,-73.9620742797852,40.7595291137695,-73.997200012207,40.7470321655273,16.8,14,13.0783938814532,8.9,39,16,0,0,1.297
NA,1,-73.9704895019531,40.754020690918,-73.9704895019531,40.754020690918,13.3,10,8.79567567567568,9,82,8,0,1,1.264
NA,3,-73.9910583496094,40.7349166870117,-73.9856567382813,40.726993560791,8.3,20,7.54211663066955,20.6,65,16,0,0,1.264
NA,1,-73.9955139160156,40.7492370605469,-73.9875564575195,40.7603416442871,8.3,20,5.64705882352941,2.2,50,16,0,0,1.284
NA,1,-73.9556884765625,40.7684288024902,-73.982666015625,40.7772636413574,12.95,2,12.967409948542,5,53,16,0,0,1.284
NA,1,-73.9886856079102,40.7323799133301,-73.9732818603516,40.7438354492188,9.3,17,10.7692307692308,25.6,45,16,0,0,1.264
NA,1,-73.9767913818359,40.726921081543,-73.9465713500977,40.7547798156738,19.8,23,14.997510373444,1.7,46,16,0,0,1.284
NA,1,-73.9730224609375,40.7932472229004,-73.9795532226563,40.7865333557129,6.3,17,9.95391705069124,25.6,43,12,0,0,1.155
NA,1,-73.9518203735352,40.773609161377,-73.9873504638672,40.7221488952637,22.25,12,27.1826086956522,9.4,29,16,0,0,1.297
NA,1,-73.9684219360352,40.7592811584473,-73.9872589111328,40.7657279968262,6.8,1,12.1100917431193,21.7,90,4,0,1,1.133
NA,1,-73.9792556762695,40.7666778564453,-73.9907989501953,40.7330322265625,12.8,3,14.5394190871369,5,55,16,0,0,1.284
NA,1,-73.9814300537109,40.778621673584,-73.9807586669922,40.7706985473633,6.3,9,9.86301369863014,8.3,86,8,0,1,1.264
NA,1,-74.0027923583984,40.7258796691895,-73.9545593261719,40.6863784790039,18.3,0,18.318418314256,10,59,16,0,0,1.284
NA,1,-73.9741821289063,40.7596015930176,-73.9606170654297,40.7631607055664,9.3,16,10.531914893617,7.2,49,16,0,0,1.297
NA,1,-73.9545211791992,40.8056716918945,-73.98291015625,40.6658706665039,68.55,22,33.1392,19.4,93,12,0,0,1.133
NA,5,-73.9879837036133,40.7323417663574,-73.9888229370117,40.7368354797363,6.96,0,10.1666666666667,21.7,93,8,0,1,1.133
NA,1,-73.9861068725586,40.7625923156738,-73.9934158325195,40.7669906616211,7.25,21,10.3846153846154,8.9,68,16,0,0,1.297
NA,1,-73.9946823120117,40.7543106079102,-73.9889297485352,40.718635559082,15.3,19,12.0114722753346,7.8,66,16,0,0,1.297
NA,1,-73.7828674316406,40.6445617675781,-73.9860153198242,40.7577056884766,69.99,15,21.1834319526627,27.8,33,12,0,0,1.155
NA,1,-73.9623870849609,40.7604866027832,-73.9744186401367,40.7648429870606,7.8,1,8.29493087557604,23.3,62,16,0,0,1.155
NA,1,-73.9528732299805,40.7763061523438,-73.9551086425781,40.7676734924316,6.8,16,11.8604651162791,25.6,45,16,0,0,1.264
NA,1,-73.7824325561524,40.6441955566406,-73.9581756591797,40.6536712646484,45.8,21,35.6479217603912,21.1,53,14,0,0,1.155
NA,1,-74.0017166137695,40.7306365966797,-73.9946746826172,40.7402610778809,6.95,8,13.2110091743119,8.9,77,9,0,1,1.264
NA,1,-73.9825210571289,40.7622833251953,-73.9792861938477,40.7462692260742,13,11,6.42092746730083,26.1,34,12,0,0,1.167
NA,2,-73.9766616821289,40.7597389221191,-73.9482650756836,40.773120880127,10.3,20,15.4838709677419,20.6,65,16,0,0,1.264
NA,1,-73.982551574707,40.7610015869141,-74.0076293945313,40.7429542541504,15.95,19,10.0111234705228,24.4,46,12,0,0,1.155
NA,1,-73.9918365478516,40.7494773864746,-74.0444030761719,40.7348670959473,62.8,18,11.4980988593156,7.2,56,16,0,0,1.297
NA,1,-73.9677047729492,40.7601509094238,-73.9639587402344,40.7652130126953,5.3,18,17.5609756097561,8.9,89,6,0,0,1.167
NA,1,-73.9693984985352,40.7533760070801,-73.9733123779297,40.7495346069336,4.8,20,9.81818181818182,7.2,90,9,0,0,1.167
NA,1,-73.9876480102539,40.7706871032715,-73.9921493530274,40.7437744140625,12.8,18,15.3658536585366,7.2,60,16,0,0,1.297
NA,2,-73.9835052490234,40.7556076049805,-73.9903717041016,40.7600631713867,7.88,17,8.50632911392405,25,45,16,0,0,1.264
NA,2,-73.9727096557617,40.7857208251953,-73.872428894043,40.7743606567383,44.84,14,18.4906467129877,8.9,83,16,0,0,1.167
NA,1,-73.9651489257813,40.7552757263184,-73.9574203491211,40.7725257873535,7.8,2,14.2776203966006,5,55,16,0,0,1.284
NA,1,-73.954231262207,40.7814826965332,-73.9567337036133,40.7715759277344,7.3,17,12.9375,11.1,43,16,0,0,1.297
NA,1,-73.9849319458008,40.7444686889648,-73.9656753540039,40.7715721130371,12.96,21,11.7818181818182,21.7,51,14,0,0,1.155
NA,5,-73.9962692260742,40.7434310913086,-73.9858322143555,40.7625694274902,11.76,0,11.4079696394687,21.7,93,8,0,1,1.133
NA,1,-74.0013580322266,40.7466163635254,-73.9928512573242,40.7631568908691,7.8,1,16.421052631579,8.9,44,16,0,0,1.297
NA,2,-74.016242980957,40.7110481262207,-74.0032119750977,40.7239303588867,11,11,13.9407744874715,22.2,61,16,0,0,1.297
NA,1,-73.9940490722656,40.7512397766113,-73.9687271118164,40.7561111450195,15.8,14,5.40643623361144,8.9,80,16,0,0,1.167
NA,4,-73.9947052001953,40.7592124938965,-73.9988861083984,40.7446899414063,11.15,1,12.0472440944882,5,53,16,0,0,1.284
NA,1,-73.9756164550781,40.7818031311035,-73.9892196655273,40.7409439086914,13.8,8,21.2131715771231,10.6,56,16,0,0,1.284
NA,1,-73.9781799316406,40.7295570373535,-73.9778594970703,40.750358581543,11.16,5,15.0066518847007,4.4,58,16,0,0,1.284
NA,1,-74.0079727172852,40.7104759216309,-73.9762115478516,40.7523574829102,19.3,13,19.6153846153846,26.7,35,12,0,0,1.155
